NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-8.6711,-8.6702,-8.6523,-8.7084,-8.9616,-9.1545,-9.3678,-9.5739,-9.6583,-9.9197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.5803,-9.4301,-9.2144,-8.9906,-8.8536,-8.7896
NaN,NaN,-1.3325,-1.9739,-6.3697,-6.782,-7.0487,-7.3314,-7.8171,-8.2651,-8.7187,-9.2751,-9.5882,-9.8161,-9.9416,-9.9825,-9.9975,-9.9386,-9.8112,-9.7202,-9.4506,-9.186,-8.9683,-8.6288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.3401,-8.7226,-7.5812,-6.8559,-5.4867,-4.5134
NaN,NaN,NaN,NaN,0.78863,-2.5576,-3.8641,-4.0286,-2.9831,-4.9515,-5.9278,-7.1571,-7.8426,-8.2648,-8.5224,-8.5127,-8.509,-8.2275,-8.0824,-7.9298,-7.497,-7.0193,-7.0286,-6.9828,-7.0092,-6.9695,NaN,NaN,NaN,-7.564,-8.6803,NaN,NaN,-9.2528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.3098,-8.2912,-7.2686,-3.8747,-2.3777,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.4112,-2.0089,-4.5391,-5.8575,-6.5648,-6.8742,-6.7977,-6.6835,-5.0763,-5.2391,-5.3553,-4.1861,-0.91949,-2.0353,-4.5564,-4.4062,-4.5242,NaN,NaN,NaN,-6.87,NaN,NaN,NaN,-7.8819,NaN,NaN,NaN,NaN,-9.8533,-9.4737,-8.769,-7.1701,-5.9234,-4.6994,3.1554,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6747,-1.7034,-3.671,-4.6023,-5.0103,-5.0346,-4.7512,NaN,NaN,NaN,NaN,NaN,-0.04565,-1.6682,-1.2095,1.0869,0.48151,-2.467,NaN,-5.5818,NaN,-5.693,NaN,-6.0285,-9.0706,NaN,NaN,-9.6234,-8.9646,-8.1121,-6.6939,-2.089,0.4169,4.58,5.0051,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5272,-0.6315,-1.2989,-2.2169,-2.9949,-2.7989,-1.4166,-0.96103,0.33841,NaN,4.8447,1.7796,1.7935,4.0489,NaN,1.9913,0.65311,-1.2723,-2.5456,-2.7728,-2.9759,NaN,NaN,-5.9318,-8.015,-8.6797,-8.6566,-7.8524,-6.7241,-4.7022,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4469,3.3454,3.1441,1.713,0.01468,-0.28867,0.08215,-0.04233,0.84244,5.2827,8.1663,6.0243,9.2678,NaN,7.2308,4.0321,3.1479,2.2109,1.0081,0.28629,-0.78607,NaN,NaN,-3.1844,-5.7839,-6.71,-6.7575,-6.2029,-5.1701,-2.7975,4.4867,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.901,6.2852,6.0517,5.0339,3.3243,2.4237,1.9088,1.5871,2.5906,7.3506,NaN,NaN,12.32,NaN,10.785,9.1228,5.597,4.6185,3.7585,3.1693,2.2685,NaN,-0.19751,-1.069,-3.7851,-4.4196,-4.1083,-3.7864,-3.1131,-1.0243,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1594,7.8306,7.3296,6.3302,5.2078,4.8529,5.4231,6.7375,12.415,NaN,NaN,NaN,NaN,NaN,10.989,8.5244,7.3578,6.7873,6.707,5.8092,4.034,3.0154,0.6821,-1.845,-1.9161,-1.2846,-0.75195,0.25806,2.238,9.2066,NaN,NaN,NaN,NaN,NaN,NaN
